,league_id,season,stage,date,match_id,home_team_id,away_team_id,home_team_goal,away_team_goal,scored_by,assisted_by,cards_home_team,cards_away_team,corners_home_team,corners_away_team,shoton_home_team,shoton_away_team,shotoff_home_team,shotoff_away_team,cross_home_team,cross_away_team,possession_home_team,possession_away_team
110,1729,2010/2011,6,2010-09-26 00:00:00,839872,8559,10260,2,2,40128;40945;33633;30619,33633;34261;40945,1,2,7,12,4,6,10,6,14,35,50,50
111,1729,2010/2011,7,2010-10-02 00:00:00,839875,8472,10260,0,0,,,1,2,10,4,13,6,8,6,31,19,50,50
112,1729,2010/2011,8,2010-10-16 00:00:00,839884,10260,8659,2,2,70409;40945;33790,40945;27430;23257,1,2,3,2,10,2,9,9,22,15,50,50
113,1729,2010/2011,9,2010-10-24 00:00:00,839901,10194,10260,1,2,70409;42183;70409,30865;47418;32569,2,2,5,6,2,5,6,8,32,22,47,53
114,1729,2011/2012,1,2011-08-14 00:00:00,1024191,8659,10260,1,2,30829;23293,23354;23257,3,2,6,5,7,4,7,8,16,23,50,50
115,1729,2011/2012,10,2011-10-29 00:00:00,1024675,8668,10260,0,1,70409,32569,3,0,4,1,11,5,7,1,25,8,50,50
116,1729,2011/2012,11,2011-11-05 00:00:00,1024759,10260,8472,1,0,,,0,2,6,2,10,2,6,7,22,13,50,50
117,1729,2011/2012,12,2011-11-19 00:00:00,1024815,10003,10260,0,1,70409,24154,0,1,6,2,5,6,2,7,25,16,53,47
118,1729,2011/2012,13,2011-11-26 00:00:00,1024845,10260,10261,1,1,70409;35411,,1,5,11,3,15,5,12,4,29,12,70,30
119,1729,2011/2012,14,2011-12-03 00:00:00,1024882,10252,10260,0,1,186137,40945,0,0,5,5,4,7,6,6,15,16,50,50
120,1729,2011/2012,15,2011-12-10 00:00:00,1024940,10260,8602,4,1,40945;30829;32627;40945;30829,35327;40945;23538;35327;35327,1,0,8,3,11,6,7,3,22,26,58,42
121,1729,2011/2012,16,2011-12-18 00:00:00,1025001,10172,10260,0,2,30829;34944,35327,1,2,5,10,4,13,8,8,24,16,50,50
122,1729,2011/2012,17,2011-12-21 00:00:00,1025054,9879,10260,0,5,113836;40945;24154;30829;27430,40945;24154;40945;24154;35327,1,0,3,10,9,7,5,5,9,16,31,69
